Date, Time, CH1, CH2, CH3, CH4, CH5, CH6
07/27/22, 10:03:33, 32.5, 37.8, 37.5, 39.9, 38.6, 39.8
07/27/22, 10:03:48, 32.6, 37.8, 37.5, 39.9, 38.6, 39.8

